

ponto;localizacao;data_instalacao;cota_terreno;latitude;longitude;latitude_decimal;longitude_decimal;situacao;utme;utmn;bacia;municipio;natureza;nome;subbacia;uf;uso_agua;data_perfuracao;metodo_perfuracao;perfurador;diametro_boca_tubo_milimetros;topo;base;tipo_penetracao;condicao;tipo_captacao;data_medicao;nivel_agua;vazao;nivel_bombeando;profundidade_inicial;profundidade_final;tipo_formacao;data_teste;tipo_teste_bombeamento;metodo_interpretacao;surgencia;unidade_de_bombeamento;nivel_dinamico;nivel_estatico;vazao_especifica;coeficiente_armazenamento;vazao_livre;permeabilidade;transmissividade;vazao_estabilizacao;tipo_bomba;data_analise;data_coleta;condutividade_eletrica;cor;odor;sabor;temperatura;turbidez;solidos_sedimentaveis;solidos_suspensos;aspecto_natural;
2900020672;FAZENDA SÃO JOÃO;2011-08-18;728,75;120956;451943;-12,165556;-45,328611;Poço RIMAS equipado c medidor automático de nível;464249;8655113;Rio São Francisco;Barreiras;Poço de monitoramento;PM 15;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-11-04;Percussao;GEODRIL;101,6000;0,00;121,00;Parcial;Livre;Única;2022-07-22;77,77;;N;0,00;121,00;Formacao Urucuia;2010-11-21;Rebaixamento;;N;Bomba submersa;75,83;74,10;4,162;;;;;7,2;;2010-11-24;2010-11-23;1,00;70,00;INODORA;BOM;27,9;11,7;;;;
2900020673;VILA CAMPO ERÊ;2011-08-19;673,85;121758;452659;-12,299444;-45,449722;Poço RIMAS equipado c medidor automático de nível;451098;8640289;Rio São Francisco;Barreiras;Poço de monitoramento;PM 18;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-11-23;Percussao;GEODRIL;101,6000;0,00;51,00;Parcial;Livre;Única;2020-11-13;8,366;;N;0,00;51,00;Formacao Urucuia;2010-12-12;Rebaixamento;;N;Bomba submersa;12,40;8,69;2,156;;;;;8;;2010-12-14;2010-12-12;1,00;;FERRO;BOM/FERRO;26,2;1,38;;;;
2900020674;FAZENDA TONINI;2011-08-30;748,26;121045;454508;-12,179167;-45,752222;Poço RIMAS equipado c medidor automático de nível;418166;8653516;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 05;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-11-21;Percussao;GEODRIL;101,6000;0,00;64,00;Parcial;Livre;Única;2022-08-02;17,22;;N;0,00;64,00;Formacao Urucuia;2010-12-13;Rebaixamento;;N;Bomba submersa;21,51;16,93;1,681;;;;;7,7;;2010-12-14;2010-12-13;1,00;71,00;INODORA;BOM;26,1;10,10;;;CRISTALINO;
2900020675;FAZENDA PIONEIRA;2011-09-06;766,34;122712;455120;-12,453333;-45,855555;Poço RIMAS equipado c medidor automático de nível;407015;8623158;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 07;Rios São Francisco e Carinhanha;BA;Sem uso;2010-11-30;Percussao;GEODRIL;101,6000;0,00;62,00;Parcial;Livre;Única;2022-08-02;21,302;;N;0,00;62,00;Formacao Urucuia;2010-12-15;Rebaixamento;;N;Bomba submersa;24,30;20,30;1,9;;;;;7,6;;2019-01-30;2018-10-23;4,90;;;;;4,58;;;;
2900020676;FAZENDA LIBERDADE;2011-08-31;725,35;121857;454942;-12,315833;-45,828333;Poço RIMAS não equipado;409932;8638379;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 06;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-11-23;Percussao;GEODRIL;101,6000;0,00;62,00;Parcial;Livre;Única;2022-07-27;14,23;;N;0,00;62,00;Formacao Urucuia;2010-12-14;Rebaixamento;;N;Bomba submersa;18,36;14,04;1,759;;;;;7,6;;2019-01-30;2018-10-24;5,70;;;;29,0;3,4;;;;
2900020677;FAZENDA JOHÁ;2011-08-30;754,73;120811;454839;-12,136389;-45,810833;Poço RIMAS equipado c medidor automático de nível;411775;8658229;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 10;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-12-11;Percussao;GEODRIL;101,6000;0,00;71,50;Parcial;Livre;Única;2022-07-28;33,3;;N;0,00;71,50;Formacao Urucuia;2011-01-19;Rebaixamento;;N;Bomba submersa;34,97;33,15;3,626;;;;;6,6;;2018-11-30;2018-10-25;6,20;;;;;5,31;;;;
2900020678;FAZENDA BALDISSARELA;2011-08-31;858,28;122414;460724;-12,403889;-46,123333;Poço RIMAS equipado c medidor automático de nível;377893;8628522;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 11;Rios São Francisco, Grande  e outros;BA;Sem uso;2010-12-18;Percussao;GEODRIL;101,6000;0,00;110,00;Parcial;Livre;Única;2021-11-25;76,01;;N;0,00;110,00;Formacao Urucuia;2011-01-27;Rebaixamento;;N;Bomba submersa;68,58;66,34;3,429;;;;;7,68;;2011-01-28;2011-01-27;1,00;310,00;;;26,6;34,10;;;;
2900020679;FAZENDA CABECEIRA GRANDE;2011-10-17;669,92;123950;450112;-12,663889;-45,020000;Poço RIMAS equipado c medidor automático de nível;497843;8600036;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 20;Rios São Francisco, Jacare e outros;BA;Sem uso;2011-03-27;Percussao;GEODRIL;101,6000;0,00;62,00;Parcial;Livre;Única;2022-07-15;4,96;;N;0,00;63,00;Formacao Urucuia;2011-05-19;Rebaixamento;;N;Bomba submersa;8,26;3,48;2,588;;;;;12,37;;2011-05-20;2011-05-19;1,40;100,00;INODORA;BOM/DOCE;26,8;15,40;;;;
2900020680;FAZENDA SAVAI;2011-09-06;810,67;121001;461305;-12,166944;-46,218056;Poço RIMAS equipado c medidor automático de nível;367476;8654685;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 01;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-03-21;Percussao;GEODRIL;101,6000;0,00;83,00;Parcial;Livre;Única;2022-02-01;20,794;;N;0,00;83,00;Formacao Urucuia;2011-04-17;Rebaixamento;;N;Bomba submersa;27,50;14,30;0,811;;;;;10,7;;2019-01-30;2018-10-18;7,10;;;;;;;;;
2900020681;FAZENDA RIO BRILHANTE;2011-09-09;774,20;124803;454338;-12,800833;-45,727222;Poço RIMAS equipado c medidor automático de nível;421075;8584774;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 09;Rios São Francisco e Carinhanha;BA;Sem uso;2011-01-31;Percussao;GEODRIL;101,6000;0,00;73,00;Parcial;Livre;Única;2022-02-17;7,162;;N;0,00;73,00;Formacao Urucuia;2011-02-02;Rebaixamento;;N;Bomba submersa;11,30;7,80;3,629;;;;;12,7;;2011-02-04;2011-02-02;1,00;130,00;INODORA;FERRO;26,2;15,4;;;;
