,0,1,2
0,82014,3.5,-60.17
1,82024,2.82944443,-60.66194444
2,82029,2.05,-50.8
3,82042,1.83249999,-61.12083332
4,82047,-3.16999999,-59.72999999
5,82067,0.60222222,-69.19277777
6,82092,0.9,-52.02
7,82093,0.62,-51.78
8,82095,0.7,-51.45
9,82098,-0.04499999,-51.11
10,82100,0.17,-69.93
11,82103,0.07,-68.23
12,82105,1.03,-67.53
13,82106,-0.12527777,-67.06111111
14,82108,-0.42,-65.03
15,82113,-0.97416666,-62.9286111
16,82141,-0.72777777,-48.51583333
17,82144,-0.65,-47.55
18,82145,-1.06361111,-46.86527777
19,82167,-1.45,-61.63
20,82178,-1.905,-55.5236111
21,82181,-2,-54.07638888
22,82184,-1.751055,-52.236186
23,82188,-1.680277,-50.478034
24,82191,-1.43583333,-48.43722221
25,82194,-1.08,-46.9
26,82198,-1.66138888,-45.37194443
27,82212,-2.51583333,-66.10083333
28,82240,-2.63,-56.73
29,82243,-2.42,-54.33
30,82246,-2.64222221,-54.94388888
31,82263,-2.23972221,-49.49972221
32,82279,-2.68,-44.72
33,82280,-2.52666666,-44.21361111
34,82287,-3.08668,-41.783139
35,82294,-2.885772,-40.114075
36,82296,-3.46972221,-42.26805554
37,82298,-3.9,-42.25944444
38,82303,-3.47,-68.8
39,82317,-3.38027777,-64.72527777
40,82326,-3.8411111,-62.05527777
41,82331,-3.10333333,-60.01638888
42,82336,-3.13694444,-58.44277777
43,82353,-3.21416666,-52.21305555
44,82361,-3.76,-49.66666666
45,82376,-3.269212,-45.651007
46,82382,-3.74277777,-43.35222222
47,82390,-3.62,-41.07
48,82392,-3.74833333,-40.34583333
49,82396,-3.72999999,-38.55
50,82397,-3.81527777,-38.53777777
51,82410,-4.3786111,-70.02999999
52,82418,-4.95,-66.9
53,82425,-4.08534,-63.145144
54,82445,-4.276986,-55.993087
55,82460,-4.21805554,-44.77583332
56,82474,-4.328706,-41.721691
57,82476,-4.86722221,-43.35666666
58,82480,-4.2761111,-41.79444444
59,82486,-4.96999999,-39.01999999
60,82487,-4.26138888,-38.9311111
61,82491,-4.56999999,-37.76999999
62,82493,-4.85361111,-37.77722221
63,82533,-5.81777777,-61.29083333
64,82562,-5.36611111,-49.12527777
65,82564,-5.53638888,-47.47888888
66,82568,-5.8,-46.45
67,82571,-5.50638888,-45.23722221
68,82578,-5.03472221,-42.80138888
69,82583,-5.19055555,-40.6736111
70,82586,-5.17305554,-39.28722221
71,82588,-5.13666666,-38.35666666
72,82590,-5.62666666,-37.815
