,Data Medicao,"PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)",Unnamed: 7
0,1976-04-02,,,,,,,
1,1976-04-03,,,,,,,
2,1976-04-04,,,,,,,
3,1976-04-05,,,,,,,
4,1976-04-06,,,,,,,
5,1976-04-07,,,,,,,
6,1976-04-08,,,,,,,
7,1976-04-09,,,,,,,
8,1976-04-10,,,,,,,
9,1976-04-11,,,,,,,
10,1976-04-12,,,,,,,
11,1976-04-13,,,,,,,
12,1976-04-14,,,,,,,
13,1976-04-15,,,,,,,
14,1976-04-16,,,,,,,
15,1976-04-17,,,,,,,
16,1976-04-18,,,,,,,
17,1976-04-19,,,,,,,
18,1976-04-20,,,,,,,
19,1976-04-21,,,,,,,
20,1976-04-22,,,,,,,
21,1976-04-23,,,,,,,
22,1976-04-24,,,,,,,
23,1976-04-25,,,,,,,
24,1976-04-26,,,,,,,
25,1976-04-27,,,,,,,
26,1976-04-28,,,,,,,
27,1976-04-29,,,,,,,
28,1976-04-30,,,,,,,
29,1976-05-01,,29.3,,,84.25,68.0,
30,1976-05-02,0.0,28.0,,,88.5,75.0,
31,1976-05-03,4.9,24.8,,,83.5,74.0,
32,1976-05-04,0.0,22.4,,,87.0,77.0,
33,1976-05-05,6.8,18.5,,,97.0,92.0,
34,1976-05-06,10.1,24.0,,,89.75,77.0,
35,1976-05-07,0.0,28.3,,,82.75,78.0,
36,1976-05-08,0.0,30.9,,,81.0,78.0,
37,1976-05-09,0.0,30.5,,,79.0,73.0,
38,1976-05-10,0.0,30.4,,,71.5,57.0,
39,1976-05-11,0.0,30.3,,,73.0,57.0,
40,1976-05-12,0.0,29.5,,,76.75,61.0,
41,1976-05-13,0.0,31.0,,,71.25,63.0,
42,1976-05-14,0.0,27.9,,,75.75,67.0,
43,1976-05-15,0.0,28.0,,,79.25,70.0,
44,1976-05-16,0.0,28.4,,,82.25,68.0,
45,1976-05-17,0.0,31.0,,,81.0,79.0,
46,1976-05-18,0.0,32.3,,,74.5,59.0,
47,1976-05-19,0.0,31.8,,,70.75,57.0,
48,1976-05-20,0.0,31.7,,,78.0,68.0,
49,1976-05-21,0.0,30.3,,,77.5,68.0,
50,1976-05-22,0.0,27.4,,,82.25,72.0,
51,1976-05-23,0.0,30.2,,,80.5,62.0,
52,1976-05-24,0.0,29.6,,,78.5,74.0,
53,1976-05-25,0.0,31.4,,,73.25,62.0,
54,1976-05-26,0.0,32.2,,,80.5,70.0,
55,1976-05-27,0.0,31.8,,,69.0,55.0,
56,1976-05-28,0.0,31.8,,,77.25,74.0,
57,1976-05-29,0.0,30.6,,,75.25,63.0,
58,1976-05-30,0.0,30.6,,,76.25,67.0,
59,1976-05-31,0.0,29.4,,,80.0,66.0,
60,1976-06-01,0.0,28.5,,,72.0,64.0,
61,1976-06-02,0.0,29.2,,,81.25,69.0,
62,1976-06-03,0.0,29.2,,,75.75,68.0,
63,1976-06-04,0.0,29.5,,,76.0,66.0,
64,1976-06-05,0.0,29.4,,,71.5,61.0,
65,1976-06-06,0.0,30.8,,,72.25,68.0,
66,1976-06-07,0.0,30.6,,,71.5,74.0,
67,1976-06-08,0.0,31.0,,,74.5,67.0,
68,1976-06-09,0.0,29.3,,,66.5,53.0,
69,1976-06-10,0.0,29.7,,,77.0,59.0,
70,1976-06-11,0.0,28.7,,,69.5,58.0,
71,1976-06-12,0.0,31.0,,,75.25,72.0,
72,1976-06-13,0.0,30.8,,,74.0,55.0,
73,1976-06-14,0.0,31.7,,,73.0,65.0,
74,1976-06-15,0.0,31.0,,,69.75,49.0,
