system:time_start,undefined
"Jan 1, 1979",464.381
"Feb 1, 1979",334.886
"Mar 1, 1979",193.107
"Apr 1, 1979",85.743
"May 1, 1979",6.206
"Jun 1, 1979",1.626
"Jul 1, 1979",0.311
"Aug 1, 1979",10.739
"Sep 1, 1979",22.246
"Oct 1, 1979",146.259
"Nov 1, 1979",250.011
"Dec 1, 1979",251.405
"Jan 1, 1980",344.744
"Feb 1, 1980",299.369
"Mar 1, 1980",30.814
"Apr 1, 1980",70.132
"May 1, 1980",10.549
"Jun 1, 1980",1.349
"Jul 1, 1980",0.169
"Aug 1, 1980",0.184
"Sep 1, 1980",50.769
"Oct 1, 1980",38.019
"Nov 1, 1980",327.554
"Dec 1, 1980",330.36
"Jan 1, 1981",207.45
"Feb 1, 1981",30.587
"Mar 1, 1981",270.491
"Apr 1, 1981",62.876
"May 1, 1981",9.188
"Jun 1, 1981",10.955
"Jul 1, 1981",1.162
"Aug 1, 1981",10.528
"Sep 1, 1981",0.109
"Oct 1, 1981",195.656
"Nov 1, 1981",318.226
"Dec 1, 1981",124.644
"Jan 1, 1982",303.409
"Feb 1, 1982",92.403
"Mar 1, 1982",233.54
"Apr 1, 1982",108.908
"May 1, 1982",9.939
"Jun 1, 1982",0.715
"Jul 1, 1982",0.372
"Aug 1, 1982",4.474
"Sep 1, 1982",78.62
"Oct 1, 1982",82.04
"Nov 1, 1982",79.672
"Dec 1, 1982",153.049
"Jan 1, 1983",362.069
"Feb 1, 1983",208.79
"Mar 1, 1983",161.429
"Apr 1, 1983",49.833
"May 1, 1983",1.39
"Jun 1, 1983",0.353
"Jul 1, 1983",1.121
"Aug 1, 1983",0.644
"Sep 1, 1983",9.968
"Oct 1, 1983",123.058
"Nov 1, 1983",304.838
"Dec 1, 1983",237.516
"Jan 1, 1984",125.956
"Feb 1, 1984",86.637
"Mar 1, 1984",224.173
"Apr 1, 1984",110.442
"May 1, 1984",1.714
"Jun 1, 1984",0.91
"Jul 1, 1984",0.367
"Aug 1, 1984",25.531
"Sep 1, 1984",34.32
"Oct 1, 1984",120.755
"Nov 1, 1984",95.525
"Dec 1, 1984",195.18
"Jan 1, 1985",376.058
"Feb 1, 1985",98.411
"Mar 1, 1985",158.223
"Apr 1, 1985",91.245
"May 1, 1985",27.262
"Jun 1, 1985",4.85
"Jul 1, 1985",0.692
"Aug 1, 1985",0.536
"Sep 1, 1985",34.125
"Oct 1, 1985",177.521
"Nov 1, 1985",163.169
"Dec 1, 1985",459.97
"Jan 1, 1986",190.293
"Feb 1, 1986",119.626
"Mar 1, 1986",96.253
"Apr 1, 1986",68.374
"May 1, 1986",4.355
"Jun 1, 1986",1.106
"Jul 1, 1986",3.461
"Aug 1, 1986",16.587
"Sep 1, 1986",5.044
"Oct 1, 1986",184.697
"Nov 1, 1986",95.967
"Dec 1, 1986",168.994
"Jan 1, 1987",118.687
"Feb 1, 1987",72.555
"Mar 1, 1987",244.215
"Apr 1, 1987",134.74
"May 1, 1987",25.282
"Jun 1, 1987",0.171
"Jul 1, 1987",0.712
"Aug 1, 1987",0.416
"Sep 1, 1987",22.054
"Oct 1, 1987",56.741
"Nov 1, 1987",270.359
"Dec 1, 1987",386.594
"Jan 1, 1988",139.904
"Feb 1, 1988",186.161
"Mar 1, 1988",248.199
"Apr 1, 1988",89.278
"May 1, 1988",5.045
"Jun 1, 1988",2.808
"Jul 1, 1988",0.531
"Aug 1, 1988",0.25
"Sep 1, 1988",7.439
"Oct 1, 1988",133.825
"Nov 1, 1988",193.308
"Dec 1, 1988",285.791
"Jan 1, 1989",105.256
"Feb 1, 1989",180.807
"Mar 1, 1989",135.327
"Apr 1, 1989",54.749
"May 1, 1989",21.847
"Jun 1, 1989",31.171
"Jul 1, 1989",2.006
"Aug 1, 1989",3.368
"Sep 1, 1989",44.444
"Oct 1, 1989",106.627
"Nov 1, 1989",271.075
"Dec 1, 1989",631.777
"Jan 1, 1990",52.457
"Feb 1, 1990",188.255
"Mar 1, 1990",102.181
"Apr 1, 1990",35.531
"May 1, 1990",70.821
"Jun 1, 1990",0.639
"Jul 1, 1990",13.468
"Aug 1, 1990",5.707
"Sep 1, 1990",39.952
"Oct 1, 1990",118.127
"Nov 1, 1990",104.479
"Dec 1, 1990",140.633
"Jan 1, 1991",271.837
"Feb 1, 1991",121.318
"Mar 1, 1991",193.027
"Apr 1, 1991",74.886
"May 1, 1991",8.988
"Jun 1, 1991",0.971
"Jul 1, 1991",0.74
"Aug 1, 1991",0.429
"Sep 1, 1991",52.719
"Oct 1, 1991",15.139
"Nov 1, 1991",293.705
"Dec 1, 1991",181.055
"Jan 1, 1992",391.015
"Feb 1, 1992",308.025
"Mar 1, 1992",18.753
"Apr 1, 1992",59.999
"May 1, 1992",15.22
"Jun 1, 1992",1.939
"Jul 1, 1992",0.913
"Aug 1, 1992",4.644
"Sep 1, 1992",18.966
"Oct 1, 1992",126.06
"Nov 1, 1992",263.115
"Dec 1, 1992",360.124
"Jan 1, 1993",101.005
"Feb 1, 1993",187.073
"Mar 1, 1993",43.131
"Apr 1, 1993",90.139
"May 1, 1993",23.157
"Jun 1, 1993",0.803
"Jul 1, 1993",0.053
"Aug 1, 1993",1.1
"Sep 1, 1993",67.847
"Oct 1, 1993",61.748
"Nov 1, 1993",122.844
"Dec 1, 1993",194.7
"Jan 1, 1994",201.664
"Feb 1, 1994",185.342
"Mar 1, 1994",286.927
"Apr 1, 1994",119.653
"May 1, 1994",2.829
"Jun 1, 1994",5.991
"Jul 1, 1994",0.756
"Aug 1, 1994",0.088
"Sep 1, 1994",0.29
"Oct 1, 1994",44.748
"Nov 1, 1994",161.153
"Dec 1, 1994",132.83
"Jan 1, 1995",141.981
"Feb 1, 1995",209.033
"Mar 1, 1995",204.849
"Apr 1, 1995",175.367
"May 1, 1995",81.641
"Jun 1, 1995",0.72
"Jul 1, 1995",0.471
"Aug 1, 1995",0.04
"Sep 1, 1995",0.371
"Oct 1, 1995",105.937
"Nov 1, 1995",214.54
"Dec 1, 1995",211.743
"Jan 1, 1996",72.443
"Feb 1, 1996",125.583
"Mar 1, 1996",205.363
"Apr 1, 1996",97.884
"May 1, 1996",33.211
"Jun 1, 1996",0.028
"Jul 1, 1996",0.014
"Aug 1, 1996",3.193
"Sep 1, 1996",2.87
"Oct 1, 1996",171.811
"Nov 1, 1996",280.029
"Dec 1, 1996",171.159
"Jan 1, 1997",247.85
"Feb 1, 1997",118.128
"Mar 1, 1997",394.329
"Apr 1, 1997",163.282
"May 1, 1997",22.827
"Jun 1, 1997",13.868
"Jul 1, 1997",0.348
"Aug 1, 1997",0.076
"Sep 1, 1997",16.16
"Oct 1, 1997",140.874
"Nov 1, 1997",111.476
"Dec 1, 1997",175.566
"Jan 1, 1998",186.576
"Feb 1, 1998",184.012
"Mar 1, 1998",107.563
"Apr 1, 1998",8.491
"May 1, 1998",37.003
"Jun 1, 1998",0.587
"Jul 1, 1998",0.536
"Aug 1, 1998",0.025
"Sep 1, 1998",0.034
"Oct 1, 1998",65.148
"Nov 1, 1998",325.245
"Dec 1, 1998",196.566
"Jan 1, 1999",173.754
"Feb 1, 1999",143.765
"Mar 1, 1999",155.227
"Apr 1, 1999",23.695
"May 1, 1999",25.643
"Jun 1, 1999",0.658
"Jul 1, 1999",1.024
"Aug 1, 1999",1.172
"Sep 1, 1999",45.405
"Oct 1, 1999",150.584
"Nov 1, 1999",273.627
"Dec 1, 1999",235.942
"Jan 1, 2000",155.246
"Feb 1, 2000",146.772
"Mar 1, 2000",159.613
"Apr 1, 2000",57.513
"May 1, 2000",1.558
"Jun 1, 2000",0.735
"Jul 1, 2000",1.456
"Aug 1, 2000",0.488
"Sep 1, 2000",32.221
"Oct 1, 2000",31.999
"Nov 1, 2000",209.983
"Dec 1, 2000",293.485
"Jan 1, 2001",78.713
"Feb 1, 2001",128.865
"Mar 1, 2001",169.296
"Apr 1, 2001",46.857
"May 1, 2001",21.548
"Jun 1, 2001",1.291
"Jul 1, 2001",0.78
"Aug 1, 2001",0.521
"Sep 1, 2001",11.907
"Oct 1, 2001",114.621
"Nov 1, 2001",200.234
"Dec 1, 2001",138.18
"Jan 1, 2002",233.722
"Feb 1, 2002",127.911
"Mar 1, 2002",108.793
"Apr 1, 2002",30.869
"May 1, 2002",13.708
"Jun 1, 2002",0.492
"Jul 1, 2002",1.226
"Aug 1, 2002",0.22
"Sep 1, 2002",21.113
"Oct 1, 2002",19.762
"Nov 1, 2002",117.175
"Dec 1, 2002",244.553
"Jan 1, 2003",225.317
"Feb 1, 2003",92.62
"Mar 1, 2003",191.393
"Apr 1, 2003",59.814
"May 1, 2003",28.921
"Jun 1, 2003",0.42
"Jul 1, 2003",0.269
"Aug 1, 2003",7.125
"Sep 1, 2003",4.459
"Oct 1, 2003",31.52
"Nov 1, 2003",178.936
"Dec 1, 2003",171.425
"Jan 1, 2004",325.477
"Feb 1, 2004",250.394
"Mar 1, 2004",268.111
"Apr 1, 2004",68.288
"May 1, 2004",3.755
"Jun 1, 2004",1.484
"Jul 1, 2004",0.905
"Aug 1, 2004",0.649
"Sep 1, 2004",0.003
"Oct 1, 2004",54.116
"Nov 1, 2004",107.036
"Dec 1, 2004",157.736
"Jan 1, 2005",254.512
"Feb 1, 2005",203.045
"Mar 1, 2005",213.967
"Apr 1, 2005",73.128
"May 1, 2005",24.974
"Jun 1, 2005",1.346
"Jul 1, 2005",0.565
"Aug 1, 2005",0.279
"Sep 1, 2005",20.406
"Oct 1, 2005",30.49
"Nov 1, 2005",204.45
"Dec 1, 2005",275.284
"Jan 1, 2006",50.041
"Feb 1, 2006",172.721
"Mar 1, 2006",254.515
"Apr 1, 2006",153.849
"May 1, 2006",35.662
"Jun 1, 2006",0.653
"Jul 1, 2006",0.55
"Aug 1, 2006",1.135
"Sep 1, 2006",32.778
"Oct 1, 2006",168.429
"Nov 1, 2006",190.482
"Dec 1, 2006",186.598
"Jan 1, 2007",122.266
"Feb 1, 2007",272.605
"Mar 1, 2007",37.513
"Apr 1, 2007",54.534
"May 1, 2007",3.005
"Jun 1, 2007",0.385
"Jul 1, 2007",0.114
