system:time_start,undefined
"Jan 1, 1979",22.045
"Feb 1, 1979",22.217
"Mar 1, 1979",23.039
"Apr 1, 1979",22.533
"May 1, 1979",22.164
"Jun 1, 1979",20.208
"Jul 1, 1979",20.764
"Aug 1, 1979",22.617
"Sep 1, 1979",24.918
"Oct 1, 1979",24.894
"Nov 1, 1979",22.917
"Dec 1, 1979",23.284
"Jan 1, 1980",22.539
"Feb 1, 1980",21.923
"Mar 1, 1980",23.39
"Apr 1, 1980",23.369
"May 1, 1980",23.031
"Jun 1, 1980",21.975
"Jul 1, 1980",21.669
"Aug 1, 1980",23.237
"Sep 1, 1980",24.851
"Oct 1, 1980",25.314
"Nov 1, 1980",22.705
"Dec 1, 1980",22.234
"Jan 1, 1981",22.471
"Feb 1, 1981",23.75
"Mar 1, 1981",23.243
"Apr 1, 1981",22.271
"May 1, 1981",21.345
"Jun 1, 1981",20.503
"Jul 1, 1981",19.92
"Aug 1, 1981",21.98
"Sep 1, 1981",24.474
"Oct 1, 1981",23.633
"Nov 1, 1981",22.574
"Dec 1, 1981",23.786
"Jan 1, 1982",22.367
"Feb 1, 1982",23.574
"Mar 1, 1982",23.317
"Apr 1, 1982",22.367
"May 1, 1982",22.346
"Jun 1, 1982",22.245
"Jul 1, 1982",21.924
"Aug 1, 1982",23.31
"Sep 1, 1982",24.181
"Oct 1, 1982",24.823
"Nov 1, 1982",25.228
"Dec 1, 1982",24.581
"Jan 1, 1983",22.879
"Feb 1, 1983",23.035
"Mar 1, 1983",23.607
"Apr 1, 1983",23.196
"May 1, 1983",23.166
"Jun 1, 1983",22.07
"Jul 1, 1983",22.554
"Aug 1, 1983",23.202
"Sep 1, 1983",25.929
"Oct 1, 1983",24.043
"Nov 1, 1983",22.808
"Dec 1, 1983",22.556
"Jan 1, 1984",23.07
"Feb 1, 1984",23.874
"Mar 1, 1984",23.179
"Apr 1, 1984",22.617
"May 1, 1984",22.485
"Jun 1, 1984",21.632
"Jul 1, 1984",21.571
"Aug 1, 1984",23.19
"Sep 1, 1984",24.212
"Oct 1, 1984",24.636
"Nov 1, 1984",24.315
