system:time_start,undefined
"Jan 1, 2000",305.499
"Feb 1, 2000",306.882
"Mar 1, 2000",299.298
"Apr 1, 2000",279.733
"May 1, 2000",236.729
"Jun 1, 2000",187.443
"Jul 1, 2000",154.414
"Aug 1, 2000",136.582
"Sep 1, 2000",138.324
"Oct 1, 2000",156.755
"Nov 1, 2000",250.733
"Dec 1, 2000",309.305
"Jan 1, 2001",266.221
"Feb 1, 2001",263.507
"Mar 1, 2001",300.31
"Apr 1, 2001",268.818
"May 1, 2001",230.407
"Jun 1, 2001",191.068
"Jul 1, 2001",159.254
"Aug 1, 2001",141.914
"Sep 1, 2001",138.599
"Oct 1, 2001",177.929
"Nov 1, 2001",253.119
"Dec 1, 2001",283.461
"Jan 1, 2002",311.298
"Feb 1, 2002",291.677
"Mar 1, 2002",264.169
"Apr 1, 2002",251.66
"May 1, 2002",212.896
"Jun 1, 2002",178.74
"Jul 1, 2002",148.932
"Aug 1, 2002",133.457
"Sep 1, 2002",139.326
"Oct 1, 2002",144.702
"Nov 1, 2002",200.938
"Dec 1, 2002",243.917
"Jan 1, 2003",297.454
"Feb 1, 2003",291.642
"Mar 1, 2003",295.931
"Apr 1, 2003",291.275
"May 1, 2003",243.901
"Jun 1, 2003",209.603
"Jul 1, 2003",171.378
"Aug 1, 2003",153.392
"Sep 1, 2003",148.252
"Oct 1, 2003",154.408
"Nov 1, 2003",208.773
"Dec 1, 2003",232.158
"Jan 1, 2004",290.731
"Feb 1, 2004",317.422
"Mar 1, 2004",306.49
"Apr 1, 2004",292.021
"May 1, 2004",234.861
"Jun 1, 2004",193.803
"Jul 1, 2004",161.601
"Aug 1, 2004",144.082
"Sep 1, 2004",138.009
"Oct 1, 2004",150.023
"Nov 1, 2004",191.179
"Dec 1, 2004",253.815
"Jan 1, 2005",282.07
"Feb 1, 2005",304.64
"Mar 1, 2005",317.351
"Apr 1, 2005",272.33
"May 1, 2005",259.964
"Jun 1, 2005",225.208
"Jul 1, 2005",186.536
"Aug 1, 2005",164.127
"Sep 1, 2005",155.228
"Oct 1, 2005",152.194
"Nov 1, 2005",224.877
"Dec 1, 2005",303.987
"Jan 1, 2006",272.693
"Feb 1, 2006",285.634
"Mar 1, 2006",305.977
"Apr 1, 2006",310.06
"May 1, 2006",262.848
"Jun 1, 2006",220.932
"Jul 1, 2006",185.337
"Aug 1, 2006",162.411
"Sep 1, 2006",157.414
"Oct 1, 2006",211.723
"Nov 1, 2006",277.49
"Dec 1, 2006",292.937
"Jan 1, 2007",280.253
"Feb 1, 2007",299.638
"Mar 1, 2007",277.201
"Apr 1, 2007",239.489
"May 1, 2007",201.456
"Jun 1, 2007",162.834
"Jul 1, 2007",136.486
"Aug 1, 2007",122.107
"Sep 1, 2007",117.857
"Oct 1, 2007",115.691
"Nov 1, 2007",133.948
"Dec 1, 2007",216.752
"Jan 1, 2008",234.089
"Feb 1, 2008",276.984
"Mar 1, 2008",298.431
"Apr 1, 2008",290.848
"May 1, 2008",238.49
"Jun 1, 2008",195.276
"Jul 1, 2008",162.387
"Aug 1, 2008",143.524
"Sep 1, 2008",138.757
"Oct 1, 2008",134.715
"Nov 1, 2008",184.284
"Dec 1, 2008",292.224
"Jan 1, 2009",293.937
"Feb 1, 2009",289.006
"Mar 1, 2009",269.59
"Apr 1, 2009",303.271
"May 1, 2009",295.296
"Jun 1, 2009",250.46
"Jul 1, 2009",207.594
"Aug 1, 2009",181.47
"Sep 1, 2009",174.564
"Oct 1, 2009",206.515
"Nov 1, 2009",287.039
"Dec 1, 2009",277.63
"Jan 1, 2010",284.732
"Feb 1, 2010",272.567
"Mar 1, 2010",292.614
"Apr 1, 2010",281.442
"May 1, 2010",227.611
"Jun 1, 2010",192.979
"Jul 1, 2010",162.118
"Aug 1, 2010",144.435
"Sep 1, 2010",135.495
"Oct 1, 2010",155.315
"Nov 1, 2010",249.343
"Dec 1, 2010",293.204
"Jan 1, 2011",305.044
"Feb 1, 2011",296.483
"Mar 1, 2011",308.099
"Apr 1, 2011",284.433
"May 1, 2011",231.177
"Jun 1, 2011",192.245
"Jul 1, 2011",159.101
"Aug 1, 2011",140.745
"Sep 1, 2011",132.798
"Oct 1, 2011",184.372
"Nov 1, 2011",262.196
"Dec 1, 2011",297.586
"Jan 1, 2012",299.613
"Feb 1, 2012",287.595
"Mar 1, 2012",263.819
"Apr 1, 2012",240.812
"May 1, 2012",202.391
"Jun 1, 2012",177.457
"Jul 1, 2012",147.124
"Aug 1, 2012",131.034
"Sep 1, 2012",124.522
"Oct 1, 2012",121.126
"Nov 1, 2012",220.848
"Dec 1, 2012",254.808
"Jan 1, 2013",268.636
"Feb 1, 2013",267.063
"Mar 1, 2013",272.856
"Apr 1, 2013",287.361
"May 1, 2013",235.896
"Jun 1, 2013",198.904
"Jul 1, 2013",166.656
"Aug 1, 2013",147.036
"Sep 1, 2013",139.335
"Oct 1, 2013",152.289
"Nov 1, 2013",204.452
"Dec 1, 2013",287.993
"Jan 1, 2014",284.802
"Feb 1, 2014",281.273
"Mar 1, 2014",296.701
"Apr 1, 2014",290.117
"May 1, 2014",236.449
"Jun 1, 2014",194.632
"Jul 1, 2014",163.568
"Aug 1, 2014",144.986
"Sep 1, 2014",138.372
"Oct 1, 2014",146.869
"Nov 1, 2014",237.019
"Dec 1, 2014",293.699
"Jan 1, 2015",245.426
"Feb 1, 2015",263.329
"Mar 1, 2015",282.144
"Apr 1, 2015",294.118
"May 1, 2015",263.368
"Jun 1, 2015",210.374
"Jul 1, 2015",174.681
"Aug 1, 2015",153.482
"Sep 1, 2015",144.039
"Oct 1, 2015",144.346
"Nov 1, 2015",186.289
"Dec 1, 2015",243.802
"Jan 1, 2016",299.539
"Feb 1, 2016",270.248
"Mar 1, 2016",261.289
"Apr 1, 2016",228.578
"May 1, 2016",195.897
"Jun 1, 2016",174.991
"Jul 1, 2016",149.195
"Aug 1, 2016",132.864
"Sep 1, 2016",142.496
"Oct 1, 2016",218.93
"Nov 1, 2016",275.624
"Dec 1, 2016",297.249
"Jan 1, 2017",278.756
"Feb 1, 2017",312.607
"Mar 1, 2017",292.184
"Apr 1, 2017",288.26
"May 1, 2017",254.888
"Jun 1, 2017",209.535
"Jul 1, 2017",171.016
"Aug 1, 2017",150.612
"Sep 1, 2017",141.535
"Oct 1, 2017",136.446
"Nov 1, 2017",272.529
"Dec 1, 2017",308.549
"Jan 1, 2018",299.927
"Feb 1, 2018",312.238
"Mar 1, 2018",308.914
"Apr 1, 2018",278.429
"May 1, 2018",228.581
"Jun 1, 2018",187.457
"Jul 1, 2018",151.979
"Aug 1, 2018",145.992
"Sep 1, 2018",143.567
"Oct 1, 2018",186.71
"Nov 1, 2018",313.283
"Dec 1, 2018",304.338
"Jan 1, 2019",276.487
"Feb 1, 2019",285.422
"Mar 1, 2019",311.152
"Apr 1, 2019",305.979
"May 1, 2019",252.512
"Jun 1, 2019",205.647
"Jul 1, 2019",166.996
"Aug 1, 2019",147.459
"Sep 1, 2019",138.901
"Oct 1, 2019",159.431
"Nov 1, 2019",205.317
"Dec 1, 2019",268.988
"Jan 1, 2020",285.03
"Feb 1, 2020",284.364
"Mar 1, 2020",310.353
"Apr 1, 2020",296.537
"May 1, 2020",248.617
"Jun 1, 2020",206.661
"Jul 1, 2020",164.777
"Aug 1, 2020",141.64
"Sep 1, 2020",131.673
"Oct 1, 2020",146.431
"Nov 1, 2020",231.163
"Dec 1, 2020",250.988
"Jan 1, 2021",239.202
"Feb 1, 2021",264.589
"Mar 1, 2021",279.154
"Apr 1, 2021",263.378
"May 1, 2021",226.104
"Jun 1, 2021",169.777
"Jul 1, 2021",134.773
"Aug 1, 2021",117.938
"Sep 1, 2021",112.823
"Oct 1, 2021",145.438
"Nov 1, 2021",226.947
"Dec 1, 2021",303.607
"Jan 1, 2022",298.883
"Feb 1, 2022",296.995
"Mar 1, 2022",261.203
"Apr 1, 2022",224.644
"May 1, 2022",182.555
"Jun 1, 2022",136.198
"Jul 1, 2022",111.331
"Aug 1, 2022",106.173
"Sep 1, 2022",103.126
"Oct 1, 2022",111.728
"Nov 1, 2022",233.01
"Dec 1, 2022",300.946
