system:time_start,undefined
"Jan 1, 2000",344.998
"Feb 1, 2000",340.774
"Mar 1, 2000",340.219
"Apr 1, 2000",311.487
"May 1, 2000",294.596
"Jun 1, 2000",270.842
"Jul 1, 2000",259.584
"Aug 1, 2000",252.648
"Sep 1, 2000",247.613
"Oct 1, 2000",243.653
"Nov 1, 2000",260.347
"Dec 1, 2000",334.418
"Jan 1, 2001",308.841
"Feb 1, 2001",287.094
"Mar 1, 2001",324.023
"Apr 1, 2001",310.363
"May 1, 2001",281.82
"Jun 1, 2001",264.605
"Jul 1, 2001",254.922
"Aug 1, 2001",248.689
"Sep 1, 2001",244.106
"Oct 1, 2001",241.307
"Nov 1, 2001",255.846
"Dec 1, 2001",295.304
"Jan 1, 2002",348.896
"Feb 1, 2002",327.634
"Mar 1, 2002",300.144
"Apr 1, 2002",290.728
"May 1, 2002",271.027
"Jun 1, 2002",258.531
"Jul 1, 2002",251.109
"Aug 1, 2002",245.923
"Sep 1, 2002",241.955
"Oct 1, 2002",238.692
"Nov 1, 2002",239.77
"Dec 1, 2002",253.358
"Jan 1, 2003",318.215
"Feb 1, 2003",321.253
"Mar 1, 2003",325.164
"Apr 1, 2003",337.52
"May 1, 2003",293.488
"Jun 1, 2003",271.297
"Jul 1, 2003",258.939
"Aug 1, 2003",251.383
"Sep 1, 2003",246.071
"Oct 1, 2003",241.888
"Nov 1, 2003",243.145
"Dec 1, 2003",251.849
"Jan 1, 2004",294.666
"Feb 1, 2004",356.471
"Mar 1, 2004",346.483
"Apr 1, 2004",332.841
"May 1, 2004",296.657
"Jun 1, 2004",271.492
"Jul 1, 2004",259.694
"Aug 1, 2004",252.463
"Sep 1, 2004",247.275
"Oct 1, 2004",243.161
"Nov 1, 2004",241.881
"Dec 1, 2004",258.348
"Jan 1, 2005",286.85
"Feb 1, 2005",333.637
"Mar 1, 2005",355.559
"Apr 1, 2005",320.445
"May 1, 2005",299.364
"Jun 1, 2005",276.755
"Jul 1, 2005",261.77
"Aug 1, 2005",252.66
"Sep 1, 2005",246.639
"Oct 1, 2005",242.085
"Nov 1, 2005",246.68
"Dec 1, 2005",320.754
"Jan 1, 2006",323.641
"Feb 1, 2006",302.573
"Mar 1, 2006",337.378
"Apr 1, 2006",354.045
"May 1, 2006",305.541
"Jun 1, 2006",279.436
"Jul 1, 2006",263.126
"Aug 1, 2006",253.78
"Sep 1, 2006",247.645
"Oct 1, 2006",246.929
"Nov 1, 2006",283.692
"Dec 1, 2006",318.142
"Jan 1, 2007",320.01
"Feb 1, 2007",321.908
"Mar 1, 2007",326.196
"Apr 1, 2007",287.11
"May 1, 2007",268.121
"Jun 1, 2007",257.033
"Jul 1, 2007",250.487
"Aug 1, 2007",245.804
"Sep 1, 2007",242.131
"Oct 1, 2007",239.04
"Nov 1, 2007",236.427
"Dec 1, 2007",240.617
"Jan 1, 2008",250.494
"Feb 1, 2008",280.714
"Mar 1, 2008",322.981
"Apr 1, 2008",330.152
"May 1, 2008",293.406
"Jun 1, 2008",270.268
"Jul 1, 2008",258.668
"Aug 1, 2008",251.576
"Sep 1, 2008",246.507
"Oct 1, 2008",242.469
"Nov 1, 2008",241.582
"Dec 1, 2008",292.733
"Jan 1, 2009",327.833
"Feb 1, 2009",320.569
"Mar 1, 2009",301.146
"Apr 1, 2009",328.647
"May 1, 2009",337.154
"Jun 1, 2009",300.847
"Jul 1, 2009",274.326
