system:time_start,undefined
"Apr 1, 2002",8.681
"May 1, 2002",2.044
"Aug 1, 2002",-10.412
"Sep 1, 2002",-16.216
"Oct 1, 2002",-17.527
"Nov 1, 2002",-15.441
"Dec 1, 2002",-15.458
"Jan 1, 2003",-2.627
"Feb 1, 2003",5.315
"Mar 1, 2003",6.158
"Apr 1, 2003",6.204
"May 1, 2003",1.974
"Jul 1, 2003",-9.645
"Aug 1, 2003",-17.011
"Sep 1, 2003",-20.619
"Oct 1, 2003",-19.928
"Nov 1, 2003",-16.094
"Dec 1, 2003",-11.79
"Feb 1, 2004",17.637
"Mar 1, 2004",22.944
"Apr 1, 2004",23.035
"May 1, 2004",13.963
"Jun 1, 2004",5.878
"Jul 1, 2004",-0.912
"Aug 1, 2004",-5.251
"Sep 1, 2004",-9.97
"Oct 1, 2004",-12.144
"Nov 1, 2004",-9.578
"Dec 1, 2004",-3.856
"Jan 1, 2005",2.353
"Feb 1, 2005",9.371
"Mar 1, 2005",16.624
"Apr 1, 2005",16.138
"May 1, 2005",9.139
"Jun 1, 2005",2.608
"Jul 1, 2005",-3.094
"Aug 1, 2005",-8.361
"Sep 1, 2005",-11.62
"Oct 1, 2005",-12.924
"Nov 1, 2005",-11.312
"Dec 1, 2005",2.955
"Jan 1, 2006",8.581
"Feb 1, 2006",6.458
"Mar 1, 2006",13.377
"Apr 1, 2006",22.097
"May 1, 2006",14.417
"Jun 1, 2006",7.359
"Jul 1, 2006",1.245
"Aug 1, 2006",-4.86
"Sep 1, 2006",-11.107
"Oct 1, 2006",-8.966
"Nov 1, 2006",-0.851
"Dec 1, 2006",3.019
"Jan 1, 2007",5.625
"Feb 1, 2007",19.71
"Mar 1, 2007",18.454
"Apr 1, 2007",10.544
"May 1, 2007",4.545
"Jun 1, 2007",-0.891
"Jul 1, 2007",-7.751
"Aug 1, 2007",-11.624
"Sep 1, 2007",-15.577
"Oct 1, 2007",-17.927
"Nov 1, 2007",-17.003
"Dec 1, 2007",-8.753
"Jan 1, 2008",-6.512
"Feb 1, 2008",1.981
"Mar 1, 2008",7.37
"Apr 1, 2008",10.88
"May 1, 2008",5.407
"Jun 1, 2008",-3.059
"Jul 1, 2008",-10.492
"Aug 1, 2008",-14.777
"Sep 1, 2008",-17.258
"Oct 1, 2008",-21.286
"Nov 1, 2008",-18.508
"Dec 1, 2008",-3.897
"Jan 1, 2009",1.772
"Feb 1, 2009",3.445
"Mar 1, 2009",3.853
"Apr 1, 2009",9.387
"May 1, 2009",9.98
"Jun 1, 2009",3.385
"Jul 1, 2009",-3.53
"Aug 1, 2009",-9.324
"Sep 1, 2009",-10.536
"Oct 1, 2009",-11.18
"Nov 1, 2009",-2.26
"Dec 1, 2009",1.114
"Jan 1, 2010",8.159
"Feb 1, 2010",7.771
"Mar 1, 2010",11.844
"Apr 1, 2010",11.092
"May 1, 2010",1.941
"Jun 1, 2010",-4.424
"Jul 1, 2010",-6.95
"Aug 1, 2010",-13.663
"Sep 1, 2010",-20.432
"Oct 1, 2010",-19.479
"Nov 1, 2010",-11.538
"Dec 1, 2010",-5.673
"Feb 1, 2011",7.932
"Mar 1, 2011",13.732
"Apr 1, 2011",15.382
"May 1, 2011",8.363
"Jul 1, 2011",-7.302
"Aug 1, 2011",-13.172
"Sep 1, 2011",-14.661
"Oct 1, 2011",-12.821
"Dec 1, 2011",4.188
"Jan 1, 2012",9.63
"Feb 1, 2012",10.748
"Mar 1, 2012",8.649
"Jun 1, 2012",-3.698
"Jul 1, 2012",-12.047
"Aug 1, 2012",-16.536
"Sep 1, 2012",-17.776
"Nov 1, 2012",-11.444
"Dec 1, 2012",-6.995
"Jan 1, 2013",-4.846
"Feb 1, 2013",5.014
"Apr 1, 2013",5.436
"May 1, 2013",-1.667
"Jun 1, 2013",-7.422
"Jul 1, 2013",-12.469
"Oct 1, 2013",-19.775
"Nov 1, 2013",-16.956
"Dec 1, 2013",-5.887
"Jan 1, 2014",8.239
"Mar 1, 2014",9.728
"Apr 1, 2014",8.569
"May 1, 2014",2.684
"Jun 1, 2014",-2.973
"Aug 1, 2014",-14.385
"Sep 1, 2014",-17.777
"Oct 1, 2014",-21.539
"Nov 1, 2014",-15.711
"Jan 1, 2015",-7.388
"Feb 1, 2015",-1.482
"Mar 1, 2015",-4.046
"Apr 1, 2015",1.701
"Jun 1, 2015",-12.555
"Aug 1, 2015",-19.669
"Sep 1, 2015",-26.963
"Dec 1, 2015",-24.786
"Jan 1, 2016",-6.725
"Mar 1, 2016",-4.817
"May 1, 2016",-20.719
"Jun 1, 2016",-21.379
"Jul 1, 2016",-26.619
"Aug 1, 2016",-29.819
"Nov 1, 2016",-16.929
"Dec 1, 2016",-19.14
"Jan 1, 2017",-10.15
