system:time_start,undefined
"Apr 1, 2002",6.725
"May 1, 2002",1.854
"Aug 1, 2002",-9.318
"Sep 1, 2002",-14.616
"Oct 1, 2002",-15.323
"Nov 1, 2002",-15.238
"Dec 1, 2002",-15.139
"Jan 1, 2003",-4.854
"Feb 1, 2003",2.352
"Mar 1, 2003",8.18
"Apr 1, 2003",6.963
"May 1, 2003",4.443
"Jul 1, 2003",-10.731
"Aug 1, 2003",-15.469
"Sep 1, 2003",-22.256
"Oct 1, 2003",-17.857
"Nov 1, 2003",-16.752
"Dec 1, 2003",-13.903
"Feb 1, 2004",20.284
"Mar 1, 2004",24.129
"Apr 1, 2004",25.116
"May 1, 2004",12.709
"Jun 1, 2004",7.407
"Jul 1, 2004",0.243
"Aug 1, 2004",-4.136
"Sep 1, 2004",-9.766
"Oct 1, 2004",-13.698
"Nov 1, 2004",-11.094
"Dec 1, 2004",-2.826
"Jan 1, 2005",3.058
"Feb 1, 2005",8.283
"Mar 1, 2005",17.893
"Apr 1, 2005",15.913
"May 1, 2005",8.567
"Jun 1, 2005",1.538
"Jul 1, 2005",-2.023
"Aug 1, 2005",-8.029
"Sep 1, 2005",-12.336
"Oct 1, 2005",-12.72
"Nov 1, 2005",-12.405
"Dec 1, 2005",3.947
"Jan 1, 2006",8.111
"Feb 1, 2006",5.457
"Mar 1, 2006",12.201
"Apr 1, 2006",23.275
"May 1, 2006",16.218
"Jun 1, 2006",5.122
"Jul 1, 2006",1.381
"Aug 1, 2006",-5.362
"Sep 1, 2006",-11.025
"Oct 1, 2006",-9.283
"Nov 1, 2006",-1.114
"Dec 1, 2006",1.77
"Jan 1, 2007",6.55
"Feb 1, 2007",18.845
"Mar 1, 2007",18.089
"Apr 1, 2007",10.934
"May 1, 2007",3.559
"Jun 1, 2007",-1.731
"Jul 1, 2007",-6.275
"Aug 1, 2007",-9.026
"Sep 1, 2007",-16.425
"Oct 1, 2007",-18.412
"Nov 1, 2007",-17.676
"Dec 1, 2007",-8.427
"Jan 1, 2008",-6.732
"Feb 1, 2008",3.042
"Mar 1, 2008",8.274
"Apr 1, 2008",8.155
"May 1, 2008",5.889
"Jun 1, 2008",-2.193
"Jul 1, 2008",-9.557
"Aug 1, 2008",-13.144
"Sep 1, 2008",-16.261
"Oct 1, 2008",-20.967
"Nov 1, 2008",-16.658
"Dec 1, 2008",-3.991
"Jan 1, 2009",1.764
"Feb 1, 2009",2.572
"Mar 1, 2009",3.794
"Apr 1, 2009",9.604
"May 1, 2009",9.811
"Jun 1, 2009",4.862
"Jul 1, 2009",-4.503
"Aug 1, 2009",-10.461
"Sep 1, 2009",-12.248
"Oct 1, 2009",-11.982
"Nov 1, 2009",-2.413
"Dec 1, 2009",1.656
"Jan 1, 2010",10.976
"Feb 1, 2010",7.112
"Mar 1, 2010",11.692
"Apr 1, 2010",11.333
"May 1, 2010",1.645
"Jun 1, 2010",-4.1
"Jul 1, 2010",-8.494
"Aug 1, 2010",-13.209
"Sep 1, 2010",-20.549
"Oct 1, 2010",-18.635
"Nov 1, 2010",-13.402
"Dec 1, 2010",-5.87
"Feb 1, 2011",6.598
"Mar 1, 2011",14.815
"Apr 1, 2011",16.412
"May 1, 2011",6.795
"Jul 1, 2011",-7.457
"Aug 1, 2011",-11.954
"Sep 1, 2011",-14.105
"Oct 1, 2011",-14.712
"Dec 1, 2011",2.317
"Jan 1, 2012",9.351
"Feb 1, 2012",10.922
"Mar 1, 2012",6.922
"Jun 1, 2012",-8.552
"Jul 1, 2012",-11.177
"Aug 1, 2012",-16.356
"Sep 1, 2012",-18.757
"Nov 1, 2012",-13.208
"Dec 1, 2012",-6.699
"Jan 1, 2013",-3.229
"Feb 1, 2013",4.627
"Apr 1, 2013",5.118
"May 1, 2013",0.62
"Jun 1, 2013",-4.933
"Jul 1, 2013",-11.689
"Oct 1, 2013",-18.39
"Nov 1, 2013",-17.019
"Dec 1, 2013",-3.633
"Jan 1, 2014",4.158
"Mar 1, 2014",9.441
"Apr 1, 2014",9.607
"May 1, 2014",3.209
"Jun 1, 2014",-2.071
"Aug 1, 2014",-14.877
"Sep 1, 2014",-18.023
"Oct 1, 2014",-20.692
"Nov 1, 2014",-15.107
"Jan 1, 2015",-3.517
"Feb 1, 2015",-3.405
"Mar 1, 2015",-1.42
"Apr 1, 2015",1.389
"Jun 1, 2015",-12.282
"Aug 1, 2015",-19.57
"Sep 1, 2015",-22.682
"Dec 1, 2015",-24.586
"Jan 1, 2016",-6.297
"Mar 1, 2016",-3.015
"May 1, 2016",-17.85
"Jun 1, 2016",-22.243
"Jul 1, 2016",-24.762
"Aug 1, 2016",-27.317
"Nov 1, 2016",-20.816
"Dec 1, 2016",-14.721
"Jan 1, 2017",-1.476
