system:time_start,undefined
"Apr 1, 2002",5.965
"May 1, 2002",0.295
"Aug 1, 2002",-11.694
"Sep 1, 2002",-9.976
"Oct 1, 2002",-17.635
"Nov 1, 2002",-13.235
"Dec 1, 2002",-13.487
"Jan 1, 2003",-4.111
"Feb 1, 2003",6.475
"Mar 1, 2003",7.304
"Apr 1, 2003",7.863
"May 1, 2003",3.175
"Jul 1, 2003",-8.768
"Aug 1, 2003",-15.082
"Sep 1, 2003",-20.678
"Oct 1, 2003",-16.832
"Nov 1, 2003",-13.648
"Dec 1, 2003",-12.128
"Feb 1, 2004",19.395
"Mar 1, 2004",24.262
"Apr 1, 2004",24.436
"May 1, 2004",16.268
"Jun 1, 2004",4.241
"Jul 1, 2004",1.289
"Aug 1, 2004",-4.534
"Sep 1, 2004",-10.809
"Oct 1, 2004",-11.964
"Nov 1, 2004",-7.874
"Dec 1, 2004",-2.376
"Jan 1, 2005",2.621
"Feb 1, 2005",9.612
"Mar 1, 2005",16.709
"Apr 1, 2005",15.574
"May 1, 2005",9.132
"Jun 1, 2005",1.293
"Jul 1, 2005",-2.957
"Aug 1, 2005",-6.988
"Sep 1, 2005",-9.847
"Oct 1, 2005",-13.954
"Nov 1, 2005",-10.048
"Dec 1, 2005",4.3
"Jan 1, 2006",7.645
"Feb 1, 2006",6.17
"Mar 1, 2006",12.535
"Apr 1, 2006",21.191
"May 1, 2006",13.144
"Jun 1, 2006",6.555
"Jul 1, 2006",1.784
"Aug 1, 2006",-5.177
"Sep 1, 2006",-8.736
"Oct 1, 2006",-6.916
"Nov 1, 2006",-0.994
"Dec 1, 2006",2.68
"Jan 1, 2007",6.419
"Feb 1, 2007",20.768
"Mar 1, 2007",17.814
"Apr 1, 2007",11.055
"May 1, 2007",3.585
"Jun 1, 2007",-1.106
"Jul 1, 2007",-6.581
"Aug 1, 2007",-11.215
"Sep 1, 2007",-17.058
"Oct 1, 2007",-16.067
"Nov 1, 2007",-16.694
"Dec 1, 2007",-9.111
"Jan 1, 2008",-6.946
"Feb 1, 2008",1.576
"Mar 1, 2008",7.089
"Apr 1, 2008",10.756
"May 1, 2008",5.243
"Jun 1, 2008",-4.051
"Jul 1, 2008",-11.505
"Aug 1, 2008",-15.393
"Sep 1, 2008",-18.825
"Oct 1, 2008",-21.762
"Nov 1, 2008",-19.224
"Dec 1, 2008",-4.296
"Jan 1, 2009",1.287
"Feb 1, 2009",3.045
"Mar 1, 2009",2.884
"Apr 1, 2009",9
"May 1, 2009",7.36
"Jun 1, 2009",4.154
"Jul 1, 2009",-2.689
"Aug 1, 2009",-9.54
"Sep 1, 2009",-12.107
"Oct 1, 2009",-12.923
"Nov 1, 2009",-2.568
"Dec 1, 2009",1.129
"Jan 1, 2010",7.573
"Feb 1, 2010",8.196
"Mar 1, 2010",9.989
"Apr 1, 2010",9.273
"May 1, 2010",2.354
"Jun 1, 2010",-7.366
"Jul 1, 2010",-8.942
"Aug 1, 2010",-13.371
"Sep 1, 2010",-20.79
"Oct 1, 2010",-20.863
"Nov 1, 2010",-11.355
"Dec 1, 2010",-6.433
"Feb 1, 2011",5.867
"Mar 1, 2011",14.092
"Apr 1, 2011",14.26
"May 1, 2011",8.049
"Jul 1, 2011",-7.076
"Aug 1, 2011",-15.153
"Sep 1, 2011",-14.758
"Oct 1, 2011",-11.998
"Dec 1, 2011",4.67
"Jan 1, 2012",8.781
"Feb 1, 2012",9.687
"Mar 1, 2012",6.886
"Jun 1, 2012",-3.177
"Jul 1, 2012",-11.133
"Aug 1, 2012",-14.853
"Sep 1, 2012",-17.221
"Nov 1, 2012",-11.341
"Dec 1, 2012",-6.184
"Jan 1, 2013",-3.116
"Feb 1, 2013",3.991
"Apr 1, 2013",3.671
"May 1, 2013",-3.339
"Jun 1, 2013",-7.258
"Jul 1, 2013",-12.376
"Oct 1, 2013",-21.936
"Nov 1, 2013",-20.417
"Dec 1, 2013",-8.567
"Jan 1, 2014",4.157
"Mar 1, 2014",9.724
"Apr 1, 2014",7.754
"May 1, 2014",3.441
"Jun 1, 2014",-2.621
"Aug 1, 2014",-15.605
"Sep 1, 2014",-20.475
"Oct 1, 2014",-21.35
"Nov 1, 2014",-15.813
"Jan 1, 2015",-11.255
"Feb 1, 2015",-9.696
"Mar 1, 2015",-3.318
"Apr 1, 2015",0.811
"Jun 1, 2015",-15.23
"Aug 1, 2015",-19.95
"Sep 1, 2015",-23.161
"Dec 1, 2015",-26.104
"Jan 1, 2016",-6.405
"Mar 1, 2016",-5.089
"May 1, 2016",-24.343
"Jun 1, 2016",-22.816
"Jul 1, 2016",-24.234
"Aug 1, 2016",-28.915
"Nov 1, 2016",-24.162
"Dec 1, 2016",-19.887
"Jan 1, 2017",-15.542
