system:time_start,undefined
"Jan 1, 1979",438.679
"Feb 1, 1979",313.892
"Mar 1, 1979",204.802
"Apr 1, 1979",96.088
"May 1, 1979",4.521
"Jun 1, 1979",1.048
"Jul 1, 1979",0.127
"Aug 1, 1979",14.144
"Sep 1, 1979",23.399
"Oct 1, 1979",222.778
"Nov 1, 1979",282.774
"Dec 1, 1979",262.496
"Jan 1, 1980",346.042
"Feb 1, 1980",280.273
"Mar 1, 1980",31.858
"Apr 1, 1980",71.729
"May 1, 1980",16.5
"Jun 1, 1980",0.64
"Jul 1, 1980",0.089
"Aug 1, 1980",0.144
"Sep 1, 1980",61.923
"Oct 1, 1980",50.387
"Nov 1, 1980",418.051
"Dec 1, 1980",316.066
"Jan 1, 1981",204.302
"Feb 1, 1981",29.712
"Mar 1, 1981",280.481
"Apr 1, 1981",56.904
"May 1, 1981",9.725
"Jun 1, 1981",8.272
"Jul 1, 1981",0.491
"Aug 1, 1981",6.984
"Sep 1, 1981",0.063
"Oct 1, 1981",177.943
"Nov 1, 1981",325.194
"Dec 1, 1981",102.466
"Jan 1, 1982",307.153
"Feb 1, 1982",108.191
"Mar 1, 1982",210.242
"Apr 1, 1982",94.029
"May 1, 1982",6.258
"Jun 1, 1982",0.393
"Jul 1, 1982",0.236
"Aug 1, 1982",5.693
"Sep 1, 1982",101.081
"Oct 1, 1982",96.743
"Nov 1, 1982",94.281
"Dec 1, 1982",161.904
"Jan 1, 1983",379.584
"Feb 1, 1983",210.618
"Mar 1, 1983",174.879
"Apr 1, 1983",55.313
"May 1, 1983",0.678
"Jun 1, 1983",0.155
"Jul 1, 1983",1.089
"Aug 1, 1983",0.487
"Sep 1, 1983",18.66
"Oct 1, 1983",116.589
"Nov 1, 1983",299.473
"Dec 1, 1983",264.251
"Jan 1, 1984",139.213
"Feb 1, 1984",98.717
"Mar 1, 1984",227.761
"Apr 1, 1984",104.99
"May 1, 1984",2.241
"Jun 1, 1984",0.706
"Jul 1, 1984",0.299
"Aug 1, 1984",21.84
"Sep 1, 1984",34.565
"Oct 1, 1984",124.844
"Nov 1, 1984",92.529
"Dec 1, 1984",205.807
"Jan 1, 1985",350.745
"Feb 1, 1985",112.924
"Mar 1, 1985",173.364
"Apr 1, 1985",106.439
"May 1, 1985",33.865
"Jun 1, 1985",6.364
"Jul 1, 1985",0.34
"Aug 1, 1985",0.322
"Sep 1, 1985",38.174
"Oct 1, 1985",216.302
"Nov 1, 1985",159.325
"Dec 1, 1985",513.835
"Jan 1, 1986",222.979
"Feb 1, 1986",131.463
"Mar 1, 1986",114.273
"Apr 1, 1986",69.537
"May 1, 1986",5.02
"Jun 1, 1986",0.446
"Jul 1, 1986",4.519
"Aug 1, 1986",14.52
"Sep 1, 1986",6.345
"Oct 1, 1986",178.406
"Nov 1, 1986",121.308
"Dec 1, 1986",162.288
"Jan 1, 1987",136.136
"Feb 1, 1987",82.255
"Mar 1, 1987",272.041
"Apr 1, 1987",146.876
"May 1, 1987",28.874
"Jun 1, 1987",0.092
"Jul 1, 1987",0.548
"Aug 1, 1987",0.302
"Sep 1, 1987",24.214
"Oct 1, 1987",62.498
"Nov 1, 1987",270.684
"Dec 1, 1987",407.636
"Jan 1, 1988",143.098
"Feb 1, 1988",209.698
"Mar 1, 1988",247.668
"Apr 1, 1988",99.085
"May 1, 1988",6.219
"Jun 1, 1988",2.476
"Jul 1, 1988",0.321
"Aug 1, 1988",0.053
"Sep 1, 1988",9.038
"Oct 1, 1988",145.87
"Nov 1, 1988",158.914
"Dec 1, 1988",321.603
"Jan 1, 1989",118.323
"Feb 1, 1989",186.725
"Mar 1, 1989",142.124
"Apr 1, 1989",61.558
"May 1, 1989",29.951
"Jun 1, 1989",32.087
"Jul 1, 1989",3.023
"Aug 1, 1989",1.39
"Sep 1, 1989",45.78
"Oct 1, 1989",110.571
"Nov 1, 1989",292.912
"Dec 1, 1989",588.982
"Jan 1, 1990",54.333
"Feb 1, 1990",183.347
"Mar 1, 1990",110.369
"Apr 1, 1990",38.763
"May 1, 1990",70.208
"Jun 1, 1990",0.218
"Jul 1, 1990",9.348
"Aug 1, 1990",5.936
"Sep 1, 1990",34.309
"Oct 1, 1990",115.161
"Nov 1, 1990",91.969
"Dec 1, 1990",151.595
"Jan 1, 1991",297.225
"Feb 1, 1991",127.627
"Mar 1, 1991",236.44
"Apr 1, 1991",81.385
"May 1, 1991",7.569
"Jun 1, 1991",1.024
"Jul 1, 1991",0.553
"Aug 1, 1991",0.364
"Sep 1, 1991",70.927
"Oct 1, 1991",21.874
"Nov 1, 1991",272.858
"Dec 1, 1991",182.414
"Jan 1, 1992",351.728
"Feb 1, 1992",336.393
"Mar 1, 1992",21.108
"Apr 1, 1992",72.154
"May 1, 1992",18.063
"Jun 1, 1992",1.449
"Jul 1, 1992",0.56
"Aug 1, 1992",1.771
"Sep 1, 1992",29.387
"Oct 1, 1992",118.216
"Nov 1, 1992",280.323
"Dec 1, 1992",405.304
"Jan 1, 1993",99.595
"Feb 1, 1993",205.464
"Mar 1, 1993",71.977
"Apr 1, 1993",104.031
"May 1, 1993",20.522
"Jun 1, 1993",1.071
"Jul 1, 1993",0.017
"Aug 1, 1993",1.17
"Sep 1, 1993",72.724
"Oct 1, 1993",66.266
"Nov 1, 1993",132.084
"Dec 1, 1993",219.052
"Jan 1, 1994",221.758
"Feb 1, 1994",215.707
"Mar 1, 1994",295.756
"Apr 1, 1994",133.095
"May 1, 1994",2.808
"Jun 1, 1994",9.285
"Jul 1, 1994",0.505
"Aug 1, 1994",0.082
"Sep 1, 1994",0.431
"Oct 1, 1994",58.107
"Nov 1, 1994",183.314
"Dec 1, 1994",133.57
"Jan 1, 1995",184.535
"Feb 1, 1995",239.256
"Mar 1, 1995",215.571
"Apr 1, 1995",209.296
"May 1, 1995",97.428
"Jun 1, 1995",1.048
"Jul 1, 1995",0.176
"Aug 1, 1995",0.022
