system:time_start,undefined
"Jan 1, 1979",21.85
"Feb 1, 1979",22.06
"Mar 1, 1979",22.992
"Apr 1, 1979",22.557
"May 1, 1979",22.324
"Jun 1, 1979",20.556
"Jul 1, 1979",21.122
"Aug 1, 1979",23.086
"Sep 1, 1979",25.179
"Oct 1, 1979",25.168
"Nov 1, 1979",22.878
"Dec 1, 1979",23.163
"Jan 1, 1980",22.393
"Feb 1, 1980",21.726
"Mar 1, 1980",23.433
"Apr 1, 1980",23.563
"May 1, 1980",23.418
"Jun 1, 1980",22.434
"Jul 1, 1980",22.252
"Aug 1, 1980",23.771
"Sep 1, 1980",25.274
"Oct 1, 1980",25.178
"Nov 1, 1980",22.455
"Dec 1, 1980",22.138
"Jan 1, 1981",22.371
"Feb 1, 1981",23.895
"Mar 1, 1981",22.943
"Apr 1, 1981",22.452
"May 1, 1981",21.732
"Jun 1, 1981",20.86
"Jul 1, 1981",20.373
"Aug 1, 1981",22.627
"Sep 1, 1981",25.156
"Oct 1, 1981",23.703
"Nov 1, 1981",22.543
"Dec 1, 1981",23.794
"Jan 1, 1982",22.226
"Feb 1, 1982",23.41
"Mar 1, 1982",23.179
"Apr 1, 1982",22.556
"May 1, 1982",22.883
"Jun 1, 1982",22.666
"Jul 1, 1982",22.427
"Aug 1, 1982",23.728
"Sep 1, 1982",24.312
"Oct 1, 1982",24.509
"Nov 1, 1982",24.727
"Dec 1, 1982",24.081
"Jan 1, 1983",22.721
"Feb 1, 1983",22.973
"Mar 1, 1983",23.692
"Apr 1, 1983",23.281
"May 1, 1983",23.513
"Jun 1, 1983",22.477
"Jul 1, 1983",22.988
"Aug 1, 1983",23.796
"Sep 1, 1983",26.335
"Oct 1, 1983",24.031
"Nov 1, 1983",22.859
"Dec 1, 1983",22.436
"Jan 1, 1984",22.861
"Feb 1, 1984",23.585
"Mar 1, 1984",22.972
"Apr 1, 1984",22.646
"May 1, 1984",22.736
"Jun 1, 1984",22.019
"Jul 1, 1984",22.109
"Aug 1, 1984",23.579
"Sep 1, 1984",24.509
"Oct 1, 1984",24.993
"Nov 1, 1984",24.226
"Dec 1, 1984",23.494
"Jan 1, 1985",21.828
"Feb 1, 1985",22.908
"Mar 1, 1985",22.973
"Apr 1, 1985",22.568
"May 1, 1985",22.574
"Jun 1, 1985",21.164
"Jul 1, 1985",21.158
"Aug 1, 1985",23.988
"Sep 1, 1985",24.587
"Oct 1, 1985",22.576
"Nov 1, 1985",22.591
"Dec 1, 1985",21.654
"Jan 1, 1986",22.591
"Feb 1, 1986",22.629
"Mar 1, 1986",22.805
"Apr 1, 1986",23.782
"May 1, 1986",23.228
"Jun 1, 1986",21.654
"Jul 1, 1986",22.387
"Aug 1, 1986",23.882
"Sep 1, 1986",24.396
"Oct 1, 1986",23.184
"Nov 1, 1986",23.656
"Dec 1, 1986",23.344
"Jan 1, 1987",23.72
"Feb 1, 1987",24.202
"Mar 1, 1987",22.803
"Apr 1, 1987",22.951
"May 1, 1987",23.197
"Jun 1, 1987",22.837
"Jul 1, 1987",23.016
"Aug 1, 1987",24.641
"Sep 1, 1987",25.751
"Oct 1, 1987",26.141
"Nov 1, 1987",23.958
"Dec 1, 1987",22.981
"Jan 1, 1988",23.645
"Feb 1, 1988",23.595
"Mar 1, 1988",23.013
"Apr 1, 1988",23.37
"May 1, 1988",23.647
"Jun 1, 1988",22.051
"Jul 1, 1988",21.464
"Aug 1, 1988",22.347
"Sep 1, 1988",25.198
"Oct 1, 1988",24.701
"Nov 1, 1988",23.707
"Dec 1, 1988",22.417
"Jan 1, 1989",23.089
"Feb 1, 1989",22.801
"Mar 1, 1989",22.559
"Apr 1, 1989",23.155
"May 1, 1989",22.373
"Jun 1, 1989",22.453
"Jul 1, 1989",21.593
"Aug 1, 1989",24.268
"Sep 1, 1989",25.576
"Oct 1, 1989",24.843
"Nov 1, 1989",23.261
"Dec 1, 1989",21.237
"Jan 1, 1990",24.08
"Feb 1, 1990",23.196
"Mar 1, 1990",23.535
"Apr 1, 1990",23.917
"May 1, 1990",23.175
"Jun 1, 1990",22.178
"Jul 1, 1990",22.603
"Aug 1, 1990",23.945
"Sep 1, 1990",25.524
"Oct 1, 1990",25.866
"Nov 1, 1990",24.644
"Dec 1, 1990",23.896
"Jan 1, 1991",22.822
"Feb 1, 1991",23.648
"Mar 1, 1991",23.169
"Apr 1, 1991",23.408
"May 1, 1991",23.394
"Jun 1, 1991",23.042
"Jul 1, 1991",21.808
"Aug 1, 1991",22.593
"Sep 1, 1991",23.885
"Oct 1, 1991",25.827
"Nov 1, 1991",22.966
"Dec 1, 1991",23.112
"Jan 1, 1992",22.429
"Feb 1, 1992",21.714
"Mar 1, 1992",24.219
"Apr 1, 1992",23.964
"May 1, 1992",23.88
"Jun 1, 1992",22.352
"Jul 1, 1992",22.099
"Aug 1, 1992",23.673
"Sep 1, 1992",25.165
"Oct 1, 1992",25.003
"Nov 1, 1992",22.907
"Dec 1, 1992",22.081
"Jan 1, 1993",23.404
"Feb 1, 1993",22.678
"Mar 1, 1993",24.48
"Apr 1, 1993",24.17
"May 1, 1993",23.685
"Jun 1, 1993",22.822
"Jul 1, 1993",23.161
"Aug 1, 1993",24.777
"Sep 1, 1993",25.464
"Oct 1, 1993",25.42
"Nov 1, 1993",25.234
"Dec 1, 1993",23.747
"Jan 1, 1994",23.106
"Feb 1, 1994",23.074
"Mar 1, 1994",22.938
"Apr 1, 1994",23.072
"May 1, 1994",23.759
"Jun 1, 1994",22.864
"Jul 1, 1994",22.216
"Aug 1, 1994",23.262
"Sep 1, 1994",25.661
"Oct 1, 1994",26.77
"Nov 1, 1994",24.921
"Dec 1, 1994",24.065
"Jan 1, 1995",23.61
"Feb 1, 1995",22.882
"Mar 1, 1995",23.437
"Apr 1, 1995",23.223
"May 1, 1995",22.959
"Jun 1, 1995",21.596
"Jul 1, 1995",22.335
"Aug 1, 1995",23.413
"Sep 1, 1995",25.978
"Oct 1, 1995",25.525
"Nov 1, 1995",23.112
"Dec 1, 1995",23.007
"Jan 1, 1996",23.894
"Feb 1, 1996",24.064
"Mar 1, 1996",23.335
"Apr 1, 1996",23.198
"May 1, 1996",23.191
"Jun 1, 1996",22.303
"Jul 1, 1996",21.996
"Aug 1, 1996",24.375
"Sep 1, 1996",26.593
"Oct 1, 1996",24.276
"Nov 1, 1996",22.818
"Dec 1, 1996",23.761
"Jan 1, 1997",22.557
"Feb 1, 1997",23.182
"Mar 1, 1997",22.114
"Apr 1, 1997",22.527
"May 1, 1997",21.609
"Jun 1, 1997",21.744
"Jul 1, 1997",21.755
"Aug 1, 1997",23.015
"Sep 1, 1997",26.486
"Oct 1, 1997",25.853
"Nov 1, 1997",24.894
"Dec 1, 1997",23.919
"Jan 1, 1998",23.843
"Feb 1, 1998",24.432
"Mar 1, 1998",24.643
"Apr 1, 1998",26.845
"May 1, 1998",24.613
"Jun 1, 1998",23.774
"Jul 1, 1998",23.648
"Aug 1, 1998",25.105
"Sep 1, 1998",27.369
"Oct 1, 1998",26.744
"Nov 1, 1998",23.119
"Dec 1, 1998",23.613
"Jan 1, 1999",23.588
"Feb 1, 1999",23.86
"Mar 1, 1999",23.196
"Apr 1, 1999",24.683
"May 1, 1999",23.871
"Jun 1, 1999",23.717
"Jul 1, 1999",22.761
"Aug 1, 1999",23.629
"Sep 1, 1999",25.555
"Oct 1, 1999",25.096
"Nov 1, 1999",22.615
"Dec 1, 1999",22.631
"Jan 1, 2000",23.058
"Feb 1, 2000",22.974
"Mar 1, 2000",23.15
"Apr 1, 2000",23.541
"May 1, 2000",23.578
"Jun 1, 2000",22.547
"Jul 1, 2000",22.893
"Aug 1, 2000",24.134
"Sep 1, 2000",24.566
"Oct 1, 2000",25.827
"Nov 1, 2000",23.011
"Dec 1, 2000",22.871
"Jan 1, 2001",23.494
"Feb 1, 2001",23.489
"Mar 1, 2001",22.998
"Apr 1, 2001",23.858
"May 1, 2001",24.424
"Jun 1, 2001",23.181
"Jul 1, 2001",22.901
"Aug 1, 2001",23.261
"Sep 1, 2001",25.968
"Oct 1, 2001",24.296
"Nov 1, 2001",23.551
"Dec 1, 2001",23.541
"Jan 1, 2002",22.998
"Feb 1, 2002",23.857
"Mar 1, 2002",24.537
"Apr 1, 2002",24.394
"May 1, 2002",23.816
"Jun 1, 2002",22.835
"Jul 1, 2002",23.597
"Aug 1, 2002",24.399
"Sep 1, 2002",25.745
"Oct 1, 2002",27.032
"Nov 1, 2002",25.343
"Dec 1, 2002",24.434
"Jan 1, 2003",23.511
"Feb 1, 2003",23.622
"Mar 1, 2003",23.264
"Apr 1, 2003",23.781
"May 1, 2003",23.38
"Jun 1, 2003",22.103
"Jul 1, 2003",21.461
"Aug 1, 2003",23.638
"Sep 1, 2003",25.863
"Oct 1, 2003",25.76
"Nov 1, 2003",24.118
"Dec 1, 2003",24.175
"Jan 1, 2004",22.879
"Feb 1, 2004",22.698
"Mar 1, 2004",22.762
"Apr 1, 2004",23.529
"May 1, 2004",24.056
"Jun 1, 2004",22.186
"Jul 1, 2004",22.022
"Aug 1, 2004",23.572
"Sep 1, 2004",25.493
"Oct 1, 2004",26.142
"Nov 1, 2004",25.708
"Dec 1, 2004",23.849
"Jan 1, 2005",23.476
"Feb 1, 2005",23.577
"Mar 1, 2005",23.237
"Apr 1, 2005",23.937
"May 1, 2005",22.76
"Jun 1, 2005",22.453
