system:time_start,undefined
"Jan 1, 2011",169.978
"Feb 1, 2011",78.511
"Mar 1, 2011",245.351
"Apr 1, 2011",59.655
"May 1, 2011",7.634
"Jun 1, 2011",0.424
"Jul 1, 2011",0.705
"Aug 1, 2011",0.111
"Sep 1, 2011",0.034
"Oct 1, 2011",160.047
"Nov 1, 2011",216.059
"Dec 1, 2011",172.903
"Jan 1, 2012",166.657
"Feb 1, 2012",48.061
"Mar 1, 2012",80.773
"Apr 1, 2012",3.399
"May 1, 2012",33.21
"Jun 1, 2012",0.977
"Jul 1, 2012",0.086
"Aug 1, 2012",1.582
"Sep 1, 2012",0.552
"Oct 1, 2012",18.319
"Nov 1, 2012",335.336
"Dec 1, 2012",28.38
"Jan 1, 2013",178.842
"Feb 1, 2013",20.453
"Mar 1, 2013",156.988
"Apr 1, 2013",111.563
"May 1, 2013",3.081
"Jun 1, 2013",6.318
"Jul 1, 2013",0.916
"Aug 1, 2013",0.305
"Sep 1, 2013",4.272
"Oct 1, 2013",67.882
"Nov 1, 2013",190.066
"Dec 1, 2013",270.09
"Jan 1, 2014",40.521
"Feb 1, 2014",69.607
"Mar 1, 2014",124.933
"Apr 1, 2014",51.059
"May 1, 2014",11.458
"Jun 1, 2014",4.232
"Jul 1, 2014",1.22
"Aug 1, 2014",0.345
"Sep 1, 2014",0.376
"Oct 1, 2014",35.885
"Nov 1, 2014",181.922
"Dec 1, 2014",147.164
"Jan 1, 2015",14.759
"Feb 1, 2015",112.134
"Mar 1, 2015",118.487
"Apr 1, 2015",102.548
"May 1, 2015",11.538
"Jun 1, 2015",1.888
"Jul 1, 2015",0.611
"Aug 1, 2015",0.396
"Sep 1, 2015",0.063
"Oct 1, 2015",48.015
"Nov 1, 2015",124.178
"Dec 1, 2015",31.337
"Jan 1, 2016",417.866
"Feb 1, 2016",22.067
"Mar 1, 2016",37.115
"Apr 1, 2016",2.032
"May 1, 2016",1.614
"Jun 1, 2016",7.282
"Jul 1, 2016",0.841
"Aug 1, 2016",0.684
"Sep 1, 2016",18.072
"Oct 1, 2016",39.071
"Nov 1, 2016",168.035
"Dec 1, 2016",101.279
"Jan 1, 2017",60.805
"Feb 1, 2017",165.188
"Mar 1, 2017",118.841
"Apr 1, 2017",27.065
"May 1, 2017",7.13
"Jun 1, 2017",0.401
"Jul 1, 2017",1.258
"Aug 1, 2017",0.149
"Sep 1, 2017",0.367
"Oct 1, 2017",7.767
"Nov 1, 2017",172.855
"Dec 1, 2017",199.671
"Jan 1, 2018",101.43
"Feb 1, 2018",225.56
"Mar 1, 2018",94.847
"Apr 1, 2018",51.111
"May 1, 2018",10.741
"Jun 1, 2018",0.883
"Jul 1, 2018",0.052
"Aug 1, 2018",2.256
"Sep 1, 2018",0.547
"Oct 1, 2018",76.061
"Nov 1, 2018",266.542
"Dec 1, 2018",173.453
"Jan 1, 2019",30.462
"Feb 1, 2019",132.718
"Mar 1, 2019",180.898
"Apr 1, 2019",76.905
"May 1, 2019",14.134
"Jun 1, 2019",1.601
"Jul 1, 2019",1
"Aug 1, 2019",2.374
"Sep 1, 2019",7.669
"Oct 1, 2019",53.41
"Nov 1, 2019",90.133
"Dec 1, 2019",64.04
"Jan 1, 2020",224.104
"Feb 1, 2020",155.737
"Mar 1, 2020",253.914
"Apr 1, 2020",194.614
"May 1, 2020",15.213
"Jun 1, 2020",1.961
"Jul 1, 2020",0.027
