system:time_start,undefined
"Jan 1, 2002",23.832
"Feb 1, 2002",24.048
"Mar 1, 2002",24.545
"Apr 1, 2002",24.232
"May 1, 2002",22.792
"Jun 1, 2002",21.534
"Jul 1, 2002",22.374
"Aug 1, 2002",23.023
"Sep 1, 2002",24.696
"Oct 1, 2002",26.46
"Nov 1, 2002",25.11
"Dec 1, 2002",24.994
"Jan 1, 2003",23.931
"Feb 1, 2003",24.342
"Mar 1, 2003",24.084
"Apr 1, 2003",23.979
"May 1, 2003",22.899
"Jun 1, 2003",21.051
"Jul 1, 2003",20.524
"Aug 1, 2003",22.829
"Sep 1, 2003",24.757
"Oct 1, 2003",25.518
"Nov 1, 2003",24.406
"Dec 1, 2003",25.113
"Jan 1, 2004",23.532
"Feb 1, 2004",23.113
"Mar 1, 2004",22.871
"Apr 1, 2004",23.109
"May 1, 2004",22.958
"Jun 1, 2004",20.651
"Jul 1, 2004",20.365
"Aug 1, 2004",21.944
"Sep 1, 2004",23.776
"Oct 1, 2004",25.829
"Nov 1, 2004",25.145
"Dec 1, 2004",23.977
"Jan 1, 2005",23.938
"Feb 1, 2005",23.764
"Mar 1, 2005",23.717
"Apr 1, 2005",24.034
"May 1, 2005",22.257
"Jun 1, 2005",21.357
"Jul 1, 2005",20.708
"Aug 1, 2005",22.454
"Sep 1, 2005",24.834
"Oct 1, 2005",26.736
"Nov 1, 2005",23.848
"Dec 1, 2005",22.946
"Jan 1, 2006",24.65
"Feb 1, 2006",24.826
"Mar 1, 2006",23.648
"Apr 1, 2006",22.864
"May 1, 2006",21.591
"Jun 1, 2006",20.027
"Jul 1, 2006",20.339
"Aug 1, 2006",22.998
"Sep 1, 2006",24.336
"Oct 1, 2006",24.252
"Nov 1, 2006",23.164
"Dec 1, 2006",24.122
"Jan 1, 2007",24.677
"Feb 1, 2007",22.967
"Mar 1, 2007",24.011
"Apr 1, 2007",24.23
"May 1, 2007",23.398
"Jun 1, 2007",21.382
"Jul 1, 2007",21.665
"Aug 1, 2007",21.898
"Sep 1, 2007",24.188
"Oct 1, 2007",26.442
"Nov 1, 2007",26.544
"Dec 1, 2007",23.988
"Jan 1, 2008",24.286
"Feb 1, 2008",23.951
"Mar 1, 2008",23.327
"Apr 1, 2008",23.501
"May 1, 2008",22.381
"Jun 1, 2008",21.152
"Jul 1, 2008",20.215
"Aug 1, 2008",22.586
"Sep 1, 2008",24.941
"Oct 1, 2008",27.024
"Nov 1, 2008",24.215
"Dec 1, 2008",23.362
"Jan 1, 2009",24.093
"Feb 1, 2009",24.491
"Mar 1, 2009",24.95
"Apr 1, 2009",22.839
"May 1, 2009",21.699
"Jun 1, 2009",21.466
"Jul 1, 2009",21.688
"Aug 1, 2009",22.98
"Sep 1, 2009",25.998
"Oct 1, 2009",24.791
"Nov 1, 2009",24.639
"Dec 1, 2009",23.775
"Jan 1, 2010",24.429
"Feb 1, 2010",25.565
"Mar 1, 2010",24.331
"Apr 1, 2010",23.686
"May 1, 2010",23.929
"Jun 1, 2010",21.458
"Jul 1, 2010",21.344
"Aug 1, 2010",21.495
"Sep 1, 2010",24.171
"Oct 1, 2010",26.611
"Nov 1, 2010",23.748
"Dec 1, 2010",24.034
"Jan 1, 2011",23.916
"Feb 1, 2011",24.452
"Mar 1, 2011",23.404
"Apr 1, 2011",23.37
"May 1, 2011",22.038
"Jun 1, 2011",21.55
"Jul 1, 2011",20.909
"Aug 1, 2011",22.937
"Sep 1, 2011",23.718
"Oct 1, 2011",23.997
"Nov 1, 2011",22.658
